Points:0,Exx,Eyy,Ezz,Exy,Eyz,Exz,Stress-xx,Stress-yy,Stress-zz,Stress-xy,Stress-yz,Stress-xz
1697.4,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.4,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.5,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.6,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.6,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.7,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.7,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.8,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.9,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.9,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1698,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1698,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.1,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.2,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.2,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.3,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.3,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.4,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.5,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.5,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.6,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.6,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.7,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.8,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
